run_id,run_date,ticker,model_type,prediction_horizon,feature_set,train_period,val_period,directional_accuracy,auc_roc,brier_score,hypothetical_sharpe,max_drawdown,beats_baseline,notes
0a9b24ee,2026-05-09T14:16:10,TSLA,RandomForest,21,all_6_families,3y,6m,0.5089,0.5818,0.2751,0,0,False,walk-forward avg over 16 folds
3b0c4f00,2026-05-09T14:16:25,TSLA,XGBoost,21,all_6_families,3y,6m,0.5174,0.5907,0.367,0,0,False,walk-forward avg over 16 folds
7e116da4,2026-05-09T14:16:25,MSFT,Baseline_Random,21,all_6_families,3y,6m,0.4955,0.5256,0.2605,0.0,0.0,False,walk-forward avg over 16 folds
b7b22a28,2026-05-09T14:16:26,MSFT,Baseline_Momentum,21,all_6_families,3y,6m,0.5064,0.485,0.3231,0.0,0.0,False,walk-forward avg over 16 folds
5da2c552,2026-05-09T14:16:28,MSFT,LogisticRegression,21,all_6_families,3y,6m,0.6245,0.5893,0.2865,0,0,True,walk-forward avg over 16 folds
89e1e4f7,2026-05-09T14:16:42,MSFT,RandomForest,21,all_6_families,3y,6m,0.5813,0.5979,0.2649,0,0,True,walk-forward avg over 16 folds
34d33b36,2026-05-09T14:16:57,MSFT,XGBoost,21,all_6_families,3y,6m,0.5833,0.6112,0.3192,0,0,True,walk-forward avg over 16 folds
0eec0fe0,2026-05-09T14:16:58,CAT,Baseline_Random,21,all_6_families,3y,6m,0.5042,0.5278,0.2582,0.0,0.0,False,walk-forward avg over 15 folds
021cb989,2026-05-09T14:16:58,CAT,Baseline_Momentum,21,all_6_families,3y,6m,0.497,0.4829,0.3282,0.0,0.0,False,walk-forward avg over 16 folds
c6f4d51e,2026-05-09T14:16:59,CAT,LogisticRegression,21,all_6_families,3y,6m,0.5037,0.5727,0.3229,0,0,False,walk-forward avg over 15 folds
a93702da,2026-05-09T14:17:14,CAT,RandomForest,21,all_6_families,3y,6m,0.5677,0.6034,0.2509,0,0,True,walk-forward avg over 15 folds
2621ee97,2026-05-09T14:17:29,CAT,XGBoost,21,all_6_families,3y,6m,0.5434,0.6116,0.3235,0,0,True,walk-forward avg over 15 folds
25dc0719,2026-05-09T14:17:29,AMZN,Baseline_Random,21,all_6_families,3y,6m,0.5109,0.5084,0.2623,0.0,0.0,False,walk-forward avg over 16 folds
2a8f4742,2026-05-09T14:17:29,AMZN,Baseline_Momentum,21,all_6_families,3y,6m,0.5149,0.4967,0.3185,0.0,0.0,False,walk-forward avg over 16 folds
f3cd48f2,2026-05-09T14:17:30,AMZN,LogisticRegression,21,all_6_families,3y,6m,0.5585,0.6143,0.2958,0,0,True,walk-forward avg over 16 folds
43422792,2026-05-09T14:17:45,AMZN,RandomForest,21,all_6_families,3y,6m,0.5858,0.6113,0.2586,0,0,True,walk-forward avg over 16 folds
c5eb94bf,2026-05-09T14:18:00,AMZN,XGBoost,21,all_6_families,3y,6m,0.5992,0.6296,0.3017,0,0,True,walk-forward avg over 16 folds
4edf9c19,2026-05-09T14:18:00,BRK-B,Baseline_Random,21,all_6_families,3y,6m,0.494,0.4997,0.2639,0.0,0.0,False,walk-forward avg over 16 folds
1a0a4541,2026-05-09T14:18:00,BRK-B,Baseline_Momentum,21,all_6_families,3y,6m,0.494,0.4791,0.3296,0.0,0.0,False,walk-forward avg over 16 folds
f278c524,2026-05-09T14:18:02,BRK-B,LogisticRegression,21,all_6_families,3y,6m,0.5928,0.6059,0.282,0,0,True,walk-forward avg over 16 folds
d1b3a8d4,2026-05-09T14:18:17,BRK-B,RandomForest,21,all_6_families,3y,6m,0.5258,0.5623,0.268,0,0,True,walk-forward avg over 16 folds
f1fa1352,2026-05-09T14:18:26,BRK-B,XGBoost,21,all_6_families,3y,6m,0.5412,0.6145,0.344,0,0,True,walk-forward avg over 16 folds
90b52b9d,2026-05-10T02:35:07,META,Baseline_Random,21,all_6_families,3y,6m,0.5005,0.5265,0.2617,0.0,0.0,False,walk-forward avg over 16 folds
9a0c9624,2026-05-10T02:35:07,META,Baseline_Momentum,21,all_6_families,3y,6m,0.4916,0.4824,0.3312,0.0,0.0,False,walk-forward avg over 16 folds
2dfafd0d,2026-05-10T02:35:09,META,LogisticRegression,21,all_6_families,3y,6m,0.5461,0.6512,0.3199,0,0,True,walk-forward avg over 16 folds
d37b32da,2026-05-10T02:35:20,META,RandomForest,21,all_6_families,3y,6m,0.5193,0.5105,0.2799,0,0,False,walk-forward avg over 16 folds
5c252650,2026-05-10T02:35:26,META,XGBoost,21,all_6_families,3y,6m,0.5362,0.5504,0.3628,0,0,True,walk-forward avg over 16 folds
1115148c,2026-05-10T02:35:27,XOM,Baseline_Random,21,all_6_families,3y,6m,0.4886,0.5061,0.262,0.0,0.0,False,walk-forward avg over 16 folds
7489a7bb,2026-05-10T02:35:27,XOM,Baseline_Momentum,21,all_6_families,3y,6m,0.5005,0.4898,0.326,0.0,0.0,False,walk-forward avg over 16 folds
528a3361,2026-05-10T02:35:27,XOM,LogisticRegression,21,all_6_families,3y,6m,0.495,0.6218,0.3417,0,0,False,walk-forward avg over 16 folds
222bebb8,2026-05-10T02:35:37,XOM,RandomForest,21,all_6_families,3y,6m,0.563,0.6485,0.2541,0,0,True,walk-forward avg over 16 folds
79daabd7,2026-05-10T02:35:43,XOM,XGBoost,21,all_6_families,3y,6m,0.5347,0.635,0.3418,0,0,True,walk-forward avg over 16 folds
c6709d88,2026-05-10T02:35:43,UNH,Baseline_Random,21,all_6_families,3y,6m,0.4931,0.5064,0.2623,0.0,0.0,False,walk-forward avg over 16 folds
7b375106,2026-05-10T02:35:43,UNH,Baseline_Momentum,21,all_6_families,3y,6m,0.501,0.4942,0.3256,0.0,0.0,False,walk-forward avg over 16 folds
a071abc1,2026-05-10T02:35:44,UNH,LogisticRegression,21,all_6_families,3y,6m,0.5789,0.6094,0.2952,0,0,True,walk-forward avg over 16 folds
c7c13255,2026-05-10T02:35:53,UNH,RandomForest,21,all_6_families,3y,6m,0.6081,0.6478,0.2503,0,0,True,walk-forward avg over 16 folds
5c46b686,2026-05-10T02:35:59,UNH,XGBoost,21,all_6_families,3y,6m,0.6032,0.6469,0.3127,0,0,True,walk-forward avg over 16 folds
27dccd0b,2026-05-10T02:35:59,TSLA,Baseline_Random,21,all_6_families,3y,6m,0.5064,0.5162,0.2605,0.0,0.0,False,walk-forward avg over 16 folds
445f868e,2026-05-10T02:35:59,TSLA,Baseline_Momentum,21,all_6_families,3y,6m,0.5099,0.495,0.3206,0.0,0.0,False,walk-forward avg over 16 folds
cdbb0481,2026-05-10T02:36:00,TSLA,LogisticRegression,21,all_6_families,3y,6m,0.5198,0.5589,0.3291,0,0,False,walk-forward avg over 16 folds
b1d27439,2026-05-10T02:36:09,TSLA,RandomForest,21,all_6_families,3y,6m,0.5089,0.5818,0.2751,0,0,False,walk-forward avg over 16 folds
83c564c0,2026-05-10T02:36:15,TSLA,XGBoost,21,all_6_families,3y,6m,0.5174,0.5907,0.367,0,0,False,walk-forward avg over 16 folds
fa7a17f4,2026-05-10T02:36:15,MSFT,Baseline_Random,21,all_6_families,3y,6m,0.4955,0.5256,0.2605,0.0,0.0,False,walk-forward avg over 16 folds
eb9d21c9,2026-05-10T02:36:15,MSFT,Baseline_Momentum,21,all_6_families,3y,6m,0.5064,0.485,0.3231,0.0,0.0,False,walk-forward avg over 16 folds
cd308370,2026-05-10T02:36:16,MSFT,LogisticRegression,21,all_6_families,3y,6m,0.6245,0.5893,0.2865,0,0,True,walk-forward avg over 16 folds
235d6f74,2026-05-10T02:36:26,MSFT,RandomForest,21,all_6_families,3y,6m,0.5813,0.5979,0.2649,0,0,True,walk-forward avg over 16 folds
1887c41c,2026-05-10T02:36:31,MSFT,XGBoost,21,all_6_families,3y,6m,0.5833,0.6112,0.3192,0,0,True,walk-forward avg over 16 folds
010c8038,2026-05-10T02:36:31,CAT,Baseline_Random,21,all_6_families,3y,6m,0.5042,0.5278,0.2582,0.0,0.0,False,walk-forward avg over 15 folds
989f03a7,2026-05-10T02:36:32,CAT,Baseline_Momentum,21,all_6_families,3y,6m,0.497,0.4829,0.3282,0.0,0.0,False,walk-forward avg over 16 folds
5183702b,2026-05-10T02:36:32,CAT,LogisticRegression,21,all_6_families,3y,6m,0.5037,0.5727,0.3229,0,0,False,walk-forward avg over 15 folds
a950b277,2026-05-10T02:36:42,CAT,RandomForest,21,all_6_families,3y,6m,0.5677,0.6034,0.2509,0,0,True,walk-forward avg over 15 folds
2e3c6529,2026-05-10T02:36:48,CAT,XGBoost,21,all_6_families,3y,6m,0.5434,0.6116,0.3235,0,0,True,walk-forward avg over 15 folds
febe9aed,2026-05-10T02:36:48,AMZN,Baseline_Random,21,all_6_families,3y,6m,0.5109,0.5084,0.2623,0.0,0.0,False,walk-forward avg over 16 folds
4473afea,2026-05-10T02:36:48,AMZN,Baseline_Momentum,21,all_6_families,3y,6m,0.5149,0.4967,0.3185,0.0,0.0,False,walk-forward avg over 16 folds
f2256475,2026-05-10T02:36:49,AMZN,LogisticRegression,21,all_6_families,3y,6m,0.5585,0.6143,0.2958,0,0,True,walk-forward avg over 16 folds
543e72b3,2026-05-10T02:36:58,AMZN,RandomForest,21,all_6_families,3y,6m,0.5858,0.6113,0.2586,0,0,True,walk-forward avg over 16 folds
258be566,2026-05-10T02:37:04,AMZN,XGBoost,21,all_6_families,3y,6m,0.5992,0.6296,0.3017,0,0,True,walk-forward avg over 16 folds
0ba8d53d,2026-05-10T02:37:04,BRK-B,Baseline_Random,21,all_6_families,3y,6m,0.494,0.4997,0.2639,0.0,0.0,False,walk-forward avg over 16 folds
f7832c0a,2026-05-10T02:37:04,BRK-B,Baseline_Momentum,21,all_6_families,3y,6m,0.494,0.4791,0.3296,0.0,0.0,False,walk-forward avg over 16 folds
e684122f,2026-05-10T02:37:05,BRK-B,LogisticRegression,21,all_6_families,3y,6m,0.5928,0.6059,0.282,0,0,True,walk-forward avg over 16 folds
6706c2ce,2026-05-10T02:37:15,BRK-B,RandomForest,21,all_6_families,3y,6m,0.5258,0.5623,0.268,0,0,True,walk-forward avg over 16 folds
3fb85cc9,2026-05-10T02:37:21,BRK-B,XGBoost,21,all_6_families,3y,6m,0.5412,0.6145,0.344,0,0,True,walk-forward avg over 16 folds
f4cac991,2026-05-11T20:03:29,APC.DE,Baseline_Random,21,all_6_families,3y,6m,0.5139,0.524,0.2616,0.0,0.0,False,walk-forward avg over 12 folds
b840b2a6,2026-05-11T20:03:29,APC.DE,Baseline_Momentum,21,all_6_families,3y,6m,0.6673,0.5,0.2325,0.0,0.0,True,walk-forward avg over 12 folds
c623fe2b,2026-05-11T20:03:33,APC.DE,LogisticRegression,21,all_6_families,3y,6m,0.5754,0.5697,0.2858,0.0,0.0,True,walk-forward avg over 12 folds
3c5f5ef3,2026-05-11T20:03:52,APC.DE,RandomForest,21,all_6_families,3y,6m,0.5694,0.462,0.3121,0.0,0.0,True,walk-forward avg over 12 folds
e33a5b5a,2026-05-11T20:04:10,APC.DE,XGBoost,21,all_6_families,3y,6m,0.5443,0.5386,0.358,0.0,0.0,True,walk-forward avg over 12 folds
45a008d0,2026-05-11T20:04:10,MSF.DE,Baseline_Random,21,all_6_families,3y,6m,0.5061,0.5009,0.2641,0.0,0.0,False,walk-forward avg over 13 folds
2d05a4ed,2026-05-11T20:04:10,MSF.DE,Baseline_Momentum,21,all_6_families,3y,6m,0.6276,0.5,0.254,0.0,0.0,True,walk-forward avg over 13 folds
a8bc35ac,2026-05-11T20:04:12,MSF.DE,LogisticRegression,21,all_6_families,3y,6m,0.6148,0.557,0.2872,0.0,0.0,True,walk-forward avg over 13 folds
e1753edd,2026-05-11T20:04:31,MSF.DE,RandomForest,21,all_6_families,3y,6m,0.5611,0.6308,0.2715,0.0,0.0,True,walk-forward avg over 13 folds
34f6eadf,2026-05-11T20:04:47,MSF.DE,XGBoost,21,all_6_families,3y,6m,0.5763,0.6236,0.3172,0.0,0.0,True,walk-forward avg over 13 folds
d8154337,2026-05-11T20:04:48,AMZN,Baseline_Random,21,all_6_families,3y,6m,0.5109,0.5084,0.2623,0.0,0.0,False,walk-forward avg over 16 folds
526abf9c,2026-05-11T20:04:48,AMZN,Baseline_Momentum,21,all_6_families,3y,6m,0.6171,0.5,0.2597,0.0,0.0,True,walk-forward avg over 16 folds
5524a800,2026-05-11T20:04:48,AMZN,LogisticRegression,21,all_6_families,3y,6m,0.5506,0.6127,0.301,0.0,0.0,True,walk-forward avg over 16 folds
dbfdefde,2026-05-11T20:05:09,AMZN,RandomForest,21,all_6_families,3y,6m,0.5625,0.5953,0.2632,0.0,0.0,True,walk-forward avg over 16 folds
7dc07bc7,2026-05-11T20:05:32,AMZN,XGBoost,21,all_6_families,3y,6m,0.5809,0.6074,0.3021,0.0,0.0,True,walk-forward avg over 16 folds
14b6707d,2026-05-11T20:05:33,META,Baseline_Random,21,all_6_families,3y,6m,0.5005,0.5265,0.2617,0.0,0.0,False,walk-forward avg over 16 folds
b57978c0,2026-05-11T20:05:33,META,Baseline_Momentum,21,all_6_families,3y,6m,0.6017,0.5,0.268,0.0,0.0,True,walk-forward avg over 16 folds
97bb5972,2026-05-11T20:05:36,META,LogisticRegression,21,all_6_families,3y,6m,0.5159,0.6468,0.3304,0.0,0.0,False,walk-forward avg over 16 folds
d5f20756,2026-05-11T20:05:58,META,RandomForest,21,all_6_families,3y,6m,0.5134,0.5049,0.2932,0.0,0.0,False,walk-forward avg over 16 folds
df587263,2026-05-11T20:06:20,META,XGBoost,21,all_6_families,3y,6m,0.5218,0.5199,0.374,0.0,0.0,True,walk-forward avg over 16 folds
fe84dbed,2026-05-11T20:06:21,TSLA,Baseline_Random,21,all_6_families,3y,6m,0.5064,0.5162,0.2605,0.0,0.0,False,walk-forward avg over 16 folds
3c409296,2026-05-11T20:06:21,TSLA,Baseline_Momentum,21,all_6_families,3y,6m,0.5481,0.5,0.2969,0.0,0.0,True,walk-forward avg over 16 folds
997b36ac,2026-05-11T20:06:22,TSLA,LogisticRegression,21,all_6_families,3y,6m,0.5193,0.5713,0.3331,0.0,0.0,False,walk-forward avg over 16 folds
5498dc14,2026-05-11T20:06:31,TSLA,RandomForest,21,all_6_families,3y,6m,0.4782,0.5542,0.2923,0.0,0.0,False,walk-forward avg over 16 folds
ebfa465f,2026-05-11T20:06:36,TSLA,XGBoost,21,all_6_families,3y,6m,0.4583,0.5258,0.3977,0.0,0.0,False,walk-forward avg over 16 folds
84e9d581,2026-05-11T20:06:36,MSFT,Baseline_Random,21,all_6_families,3y,6m,0.4955,0.5256,0.2605,0.0,0.0,False,walk-forward avg over 16 folds
00b091ac,2026-05-11T20:06:36,MSFT,Baseline_Momentum,21,all_6_families,3y,6m,0.6255,0.5,0.2551,0.0,0.0,True,walk-forward avg over 16 folds
10ed8cbb,2026-05-11T20:06:37,MSFT,LogisticRegression,21,all_6_families,3y,6m,0.6086,0.5812,0.2878,0.0,0.0,True,walk-forward avg over 16 folds
9d25f700,2026-05-11T20:06:47,MSFT,RandomForest,21,all_6_families,3y,6m,0.5466,0.5958,0.2841,0.0,0.0,True,walk-forward avg over 16 folds
c309f14c,2026-05-11T20:06:53,MSFT,XGBoost,21,all_6_families,3y,6m,0.5268,0.5626,0.3597,0.0,0.0,True,walk-forward avg over 16 folds
894d4375,2026-05-11T20:06:54,TSM,Baseline_Random,21,all_6_families,3y,6m,0.5064,0.5146,0.2605,0.0,0.0,False,walk-forward avg over 16 folds
a3bdd734,2026-05-11T20:06:54,TSM,Baseline_Momentum,21,all_6_families,3y,6m,0.6057,0.5,0.2658,0.0,0.0,True,walk-forward avg over 16 folds
e570afc2,2026-05-11T20:06:55,TSM,LogisticRegression,21,all_6_families,3y,6m,0.5565,0.5836,0.3169,0.0,0.0,True,walk-forward avg over 16 folds
9581ab32,2026-05-11T20:07:03,TSM,RandomForest,21,all_6_families,3y,6m,0.503,0.5685,0.2925,0.0,0.0,False,walk-forward avg over 16 folds
3046ec0d,2026-05-11T20:07:08,TSM,XGBoost,21,all_6_families,3y,6m,0.5456,0.6473,0.3498,0.0,0.0,True,walk-forward avg over 16 folds
9e44d5fc,2026-05-11T20:07:09,BRK-B,Baseline_Random,21,all_6_families,3y,6m,0.494,0.4997,0.2639,0.0,0.0,False,walk-forward avg over 16 folds
4d96d4ad,2026-05-11T20:07:09,BRK-B,Baseline_Momentum,21,all_6_families,3y,6m,0.5913,0.5,0.2736,0.0,0.0,True,walk-forward avg over 16 folds
a54a78dd,2026-05-11T20:07:09,BRK-B,LogisticRegression,21,all_6_families,3y,6m,0.5972,0.6184,0.2805,0.0,0.0,True,walk-forward avg over 16 folds
4decd948,2026-05-11T20:07:18,BRK-B,RandomForest,21,all_6_families,3y,6m,0.5094,0.5832,0.2801,0.0,0.0,False,walk-forward avg over 16 folds
5f963c91,2026-05-11T20:07:24,BRK-B,XGBoost,21,all_6_families,3y,6m,0.5471,0.6353,0.3446,0.0,0.0,True,walk-forward avg over 16 folds
ce914d98,2026-05-11T20:07:24,BLK,Baseline_Random,21,all_6_families,3y,6m,0.4916,0.5132,0.2609,0.0,0.0,False,walk-forward avg over 16 folds
46b836de,2026-05-11T20:07:24,BLK,Baseline_Momentum,21,all_6_families,3y,6m,0.5938,0.5,0.2723,0.0,0.0,True,walk-forward avg over 16 folds
a7e5eeb0,2026-05-11T20:07:25,BLK,LogisticRegression,21,all_6_families,3y,6m,0.5744,0.5552,0.3034,0.0,0.0,True,walk-forward avg over 16 folds
f110fe51,2026-05-11T20:07:33,BLK,RandomForest,21,all_6_families,3y,6m,0.5213,0.5873,0.274,0.0,0.0,True,walk-forward avg over 16 folds
a943883b,2026-05-11T20:07:39,BLK,XGBoost,21,all_6_families,3y,6m,0.4851,0.6033,0.3657,0.0,0.0,False,walk-forward avg over 16 folds
1bcba783,2026-05-11T20:07:39,UNH,Baseline_Random,21,all_6_families,3y,6m,0.4931,0.5064,0.2623,0.0,0.0,False,walk-forward avg over 16 folds
6a20d902,2026-05-11T20:07:39,UNH,Baseline_Momentum,21,all_6_families,3y,6m,0.5694,0.5,0.2854,0.0,0.0,True,walk-forward avg over 16 folds
4500af9f,2026-05-11T20:07:40,UNH,LogisticRegression,21,all_6_families,3y,6m,0.558,0.5908,0.3044,0.0,0.0,True,walk-forward avg over 16 folds
e63fc99c,2026-05-11T20:07:48,UNH,RandomForest,21,all_6_families,3y,6m,0.5868,0.6561,0.2546,0.0,0.0,True,walk-forward avg over 16 folds
cbb64d73,2026-05-11T20:07:55,UNH,XGBoost,21,all_6_families,3y,6m,0.5838,0.6464,0.3199,0.0,0.0,True,walk-forward avg over 16 folds
c307d5dd,2026-05-11T20:07:55,TMO,Baseline_Random,21,all_6_families,3y,6m,0.5005,0.518,0.2596,0.0,0.0,False,walk-forward avg over 16 folds
bcd2f072,2026-05-11T20:07:55,TMO,Baseline_Momentum,21,all_6_families,3y,6m,0.5888,0.5,0.275,0.0,0.0,True,walk-forward avg over 16 folds
c8a0f848,2026-05-11T20:07:56,TMO,LogisticRegression,21,all_6_families,3y,6m,0.563,0.7171,0.3147,0.0,0.0,True,walk-forward avg over 16 folds
f5ab15d4,2026-05-11T20:08:05,TMO,RandomForest,21,all_6_families,3y,6m,0.5605,0.6845,0.2548,0.0,0.0,True,walk-forward avg over 16 folds
3940e346,2026-05-11T20:08:11,TMO,XGBoost,21,all_6_families,3y,6m,0.5496,0.6787,0.3292,0.0,0.0,True,walk-forward avg over 16 folds
f51c7f7e,2026-05-11T20:08:12,DIS,Baseline_Random,21,all_6_families,3y,6m,0.497,0.4877,0.2646,0.0,0.0,False,walk-forward avg over 16 folds
71384643,2026-05-11T20:08:12,DIS,Baseline_Momentum,21,all_6_families,3y,6m,0.4732,0.5,0.3374,0.0,0.0,False,walk-forward avg over 16 folds
a19b31f9,2026-05-11T20:08:13,DIS,LogisticRegression,21,all_6_families,3y,6m,0.5208,0.5644,0.2982,0.0,0.0,True,walk-forward avg over 16 folds
fd5bfcf1,2026-05-11T20:08:22,DIS,RandomForest,21,all_6_families,3y,6m,0.5015,0.5613,0.2708,0.0,0.0,False,walk-forward avg over 16 folds
7fb4e3ff,2026-05-11T20:08:29,DIS,XGBoost,21,all_6_families,3y,6m,0.4846,0.5798,0.3736,0.0,0.0,False,walk-forward avg over 16 folds
7a610b52,2026-05-11T20:08:29,XOM,Baseline_Random,21,all_6_families,3y,6m,0.4886,0.5061,0.262,0.0,0.0,False,walk-forward avg over 16 folds
ef3d269e,2026-05-11T20:08:29,XOM,Baseline_Momentum,21,all_6_families,3y,6m,0.5699,0.5,0.2851,0.0,0.0,True,walk-forward avg over 16 folds
50330d43,2026-05-11T20:08:30,XOM,LogisticRegression,21,all_6_families,3y,6m,0.4955,0.6148,0.3462,0.0,0.0,False,walk-forward avg over 16 folds
7b3599fc,2026-05-11T20:08:38,XOM,RandomForest,21,all_6_families,3y,6m,0.5288,0.6472,0.2666,0.0,0.0,True,walk-forward avg over 16 folds
cae3b7ba,2026-05-11T20:08:45,XOM,XGBoost,21,all_6_families,3y,6m,0.501,0.6094,0.3644,0.0,0.0,False,walk-forward avg over 16 folds
73dddd3c,2026-05-11T20:08:45,CVX,Baseline_Random,21,all_6_families,3y,6m,0.4891,0.5057,0.2627,0.0,0.0,False,walk-forward avg over 16 folds
5b5b8187,2026-05-11T20:08:45,CVX,Baseline_Momentum,21,all_6_families,3y,6m,0.5694,0.5,0.2854,0.0,0.0,True,walk-forward avg over 16 folds
51507f8f,2026-05-11T20:08:46,CVX,LogisticRegression,21,all_6_families,3y,6m,0.496,0.5947,0.3446,0.0,0.0,False,walk-forward avg over 16 folds
95c81d9d,2026-05-11T20:08:56,CVX,RandomForest,21,all_6_families,3y,6m,0.5511,0.7018,0.2553,0.0,0.0,True,walk-forward avg over 16 folds
b69f1bea,2026-05-11T20:09:02,CVX,XGBoost,21,all_6_families,3y,6m,0.5263,0.6802,0.3264,0.0,0.0,True,walk-forward avg over 16 folds
bb44707a,2026-05-11T20:09:02,NEE,Baseline_Random,21,all_6_families,3y,6m,0.5099,0.4972,0.2642,0.0,0.0,False,walk-forward avg over 16 folds
d25447a2,2026-05-11T20:09:02,NEE,Baseline_Momentum,21,all_6_families,3y,6m,0.6062,0.5,0.2656,0.0,0.0,True,walk-forward avg over 16 folds
6a8caaed,2026-05-11T20:09:03,NEE,LogisticRegression,21,all_6_families,3y,6m,0.5828,0.6952,0.2965,0.0,0.0,True,walk-forward avg over 16 folds
0d2ff77a,2026-05-11T20:09:13,NEE,RandomForest,21,all_6_families,3y,6m,0.5615,0.769,0.2493,0.0,0.0,True,walk-forward avg over 16 folds
301ca2af,2026-05-11T20:09:19,NEE,XGBoost,21,all_6_families,3y,6m,0.5997,0.7506,0.2951,0.0,0.0,True,walk-forward avg over 16 folds
e802caf6,2026-05-11T20:09:19,CAT,Baseline_Random,21,all_6_families,3y,6m,0.5042,0.5278,0.2582,0.0,0.0,False,walk-forward avg over 15 folds
121799c5,2026-05-11T20:09:19,CAT,Baseline_Momentum,21,all_6_families,3y,6m,0.6071,0.5,0.265,0.0,0.0,True,walk-forward avg over 16 folds
65b9fd3d,2026-05-11T20:09:20,CAT,LogisticRegression,21,all_6_families,3y,6m,0.5114,0.5743,0.3237,0.0,0.0,False,walk-forward avg over 16 folds
cbf11fe2,2026-05-11T20:09:28,CAT,RandomForest,21,all_6_families,3y,6m,0.5144,0.5953,0.2594,0.0,0.0,False,walk-forward avg over 16 folds
4d9d9235,2026-05-11T20:09:34,CAT,XGBoost,21,all_6_families,3y,6m,0.4955,0.5975,0.3464,0.0,0.0,False,walk-forward avg over 16 folds
dd2cce79,2026-05-11T20:09:35,UPS,Baseline_Random,21,all_6_families,3y,6m,0.497,0.5101,0.2615,0.0,0.0,False,walk-forward avg over 16 folds
2d151106,2026-05-11T20:09:35,UPS,Baseline_Momentum,21,all_6_families,3y,6m,0.5347,0.5,0.3042,0.0,0.0,True,walk-forward avg over 16 folds
1a878383,2026-05-11T20:09:35,UPS,LogisticRegression,21,all_6_families,3y,6m,0.5451,0.6947,0.2999,0.0,0.0,True,walk-forward avg over 16 folds
97a969cc,2026-05-11T20:09:45,UPS,RandomForest,21,all_6_families,3y,6m,0.5188,0.6903,0.2643,0.0,0.0,False,walk-forward avg over 16 folds
abae82b1,2026-05-11T20:09:50,UPS,XGBoost,21,all_6_families,3y,6m,0.4965,0.695,0.3818,0.0,0.0,False,walk-forward avg over 16 folds
a9301fa5,2026-05-11T20:09:50,DE,Baseline_Random,21,all_6_families,3y,6m,0.4995,0.508,0.2609,0.0,0.0,False,walk-forward avg over 16 folds
